Topic name,Tags,Partitions,Production,Consumption,Retained bytes,Consumers,Has data contract
IMDAS.OPERATIONS.DSP,,3,6B/s,13B/s,122.63MB,1,TRUE
IMDAS.OPERATIONS.FR1,,3,715B/s,1.4KB/s,1.83GB,1,TRUE
IMDAS.OPERATIONS.HLD.V0,,6,,,48.25KB,1,TRUE
IMDAS.OPERATIONS.MED,,197,561.92KB/s,1.03MB/s,368.2GB,27,TRUE
IMDAS.OPERATIONS.MMD,,24,7.15KB/s,12.54KB/s,6.7GB,8,TRUE
IMDAS.OPERATIONS.OSW,,3,60.43KB/s,60.75KB/s,30.04GB,3,TRUE
IVS.OPERATIONS.SIGNATURE,,3,1.24KB/s,2.48KB/s,1.92GB,3,TRUE
MDIMS.MANIFEST.SSF,,3,583B/s,1.14KB/s,183.07MB,2,TRUE
MHTS.OPERATIONS.FIRMBOOK.FR2,,3,,,142.16MB,1,TRUE
mm2-configs.east-gcp-prod.internal,,1,,,0B,,FALSE
mm2-configs.eeb-prod-azure-e-cl.90f9d2.internal,,1,,,37.5KB,,FALSE
mm2-configs.eeb-prod-azure-e-cl.internal,,1,,,370.85KB,,FALSE
mm2-configs.eeb-prod-gcp-c1-cl.7d102b.internal,,1,,,22.89KB,,FALSE
mm2-configs.eeb-prod-gcp-e4-cl.internal,,1,,,35.97KB,,FALSE
mm2-configs.ilelvp.internal,,1,,,55.61KB,,FALSE
mm2-configs.nmat-prod.internal,,1,,,31.9KB,,FALSE
mm2-configs.pone-prod.internal,,1,,,40.38KB,,FALSE
mm2-offset-syncs.eeb-prod-azure-e-cl.internal,,1,32B/s,,7.67MB,,FALSE
mm2-offset-syncs.ilelvp.internal,,6,3B/s,,4.19MB,,FALSE
mm2-offset-syncs.nmat-prod.internal,,6,604B/s,604B/s,28.93MB,,FALSE
mm2-offset-syncs.pone-prod.internal,,6,23B/s,,2.77MB,,FALSE
mm2-offsets.east-gcp-prod.internal,,6,,,0B,,FALSE
mm2-offsets.eeb-prod-azure-e-cl.90f9d2.internal,,25,41B/s,82B/s,14.53MB,,FALSE
mm2-offsets.eeb-prod-azure-e-cl.internal,,25,,,1.94KB,,FALSE
mm2-offsets.eeb-prod-gcp-c1-cl.7d102b.internal,,25,3B/s,50B/s,1008.85KB,,FALSE
mm2-offsets.eeb-prod-gcp-e4-cl.internal,,25,,,196B,,FALSE
mm2-offsets.ilelvp.internal,,6,6B/s,6B/s,2.46MB,,FALSE
mm2-offsets.nmat-prod.internal,,6,6B/s,6B/s,1.89MB,,FALSE
mm2-offsets.pone-prod.internal,,6,9B/s,9B/s,1.83MB,,FALSE
mm2-status.east-gcp-prod.internal,,6,,,0B,,FALSE
mm2-status.eeb-prod-azure-e-cl.90f9d2.internal,,5,,,98.31KB,,FALSE
mm2-status.eeb-prod-azure-e-cl.internal,,5,,,7.69KB,,FALSE
mm2-status.eeb-prod-gcp-c1-cl.7d102b.internal,,5,,,4.09KB,,FALSE
mm2-status.eeb-prod-gcp-e4-cl.internal,,5,,,1.1KB,,FALSE
mm2-status.ilelvp.internal,,6,,,6.49KB,,FALSE
mm2-status.nmat-prod.internal,,6,,,9.17KB,,FALSE
mm2-status.pone-prod.internal,,6,,,13.79KB,,FALSE
MRCS.OPERATIONS.SEARCHREQUEST.CLOSED,,3,,,11.01MB,1,TRUE
MRCS.OPERATIONS.SEARCHREQUEST.INITIATION,,3,17B/s,34B/s,12.61MB,1,TRUE
MRCS.OPERATIONS.SEARCHREQUEST.REMINDER,,3,,0B/s,481.41KB,1,TRUE
NCOA.OPERATIONS.ACS.DISPOSITION.UPDATE,,97,,,1.26GB,3,TRUE
nmat-cy-dummy,,1,,,0B,,FALSE
nmat-prod.checkpoints.internal,,6,,,592B,,FALSE
nmat-prod.heartbeats,,6,,,10.95MB,,FALSE
pone-cydummy,,6,,,0B,,FALSE
pone-cydummy-gcp,,6,,,0B,,FALSE
pone-prod.azure-ptr2.heartbeats,,6,108B/s,108B/s,50.02MB,,FALSE
pone-prod.azure-ptr21.heartbeats,,6,,,418B,,FALSE
pone-prod.checkpoints.internal,,6,,,0B,,FALSE
pone-prod.heartbeats,,6,194B/s,,81.16MB,,FALSE
pone-prod.src.heartbeats,,6,,,0B,,FALSE
poneptr2-manifest-ssf,,3,,,0B,,FALSE
poneptr2-manifest.ssf,,3,,,0B,,FALSE
POSTALONE.MANIFEST.SSF,,39,7.29KB/s,14.58KB/s,685.32MB,13,TRUE
PROGREG.REFERENCE.CUSTOMER,,6,,,959.31KB,1,TRUE
PTR2.MANIFEST.SSF,,197,,,0B,,TRUE
PTR2.OPERATIONS.CONTAINER.SCAN,,197,,,0B,,TRUE
PTR2.OPERATIONS.NOTIFICATIONS,,197,,,0B,,TRUE
PTR2.OPERATIONS.PACKAGE.SCAN,,197,,,0B,,TRUE
PTR2.OPERATIONS.RIPS,,197,,,0B,,TRUE
PTR2.REFERENCE.DATA,,3,,,0B,,TRUE
RSS.OPERATIONS.ACP,,35,94.17KB/s,171.87KB/s,45.51GB,3,TRUE
RSS.OPERATIONS.MPU,,6,8.35KB/s,16.69KB/s,3.44GB,1,TRUE
